"","id","partition","fahrlage","von","bis","valid","abgelehnt","minFahrzeit","homogen","res","Tag_1","Tag_2","Tag_3","Tag_4","Tag_5","Tag_6","Tag_7","Tag_8","Tag_9","Tag_10","Tag_11","Tag_12","Tag_13","Tag_14","Tag_15","Tag_16","Tag_17","Tag_18","Tag_19","Tag_20","Tag_21","Tag_22","Tag_23","Tag_24","Tag_25","Tag_26","Tag_27","Tag_28","Tag_29","Tag_30","Tag_31","Tag_32","Tag_33","Tag_34","Tag_35","Tag_36","Tag_37"
"4",4,3,1,"A","L",1,0,30,0.8,"0, 71, 74, 77, 96, 99, 113, 126, 177",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,3,1,"A","L",1,0,34,0.8,"0, 27, 80, 95, 110, 17, 176",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,3,1,"A","L",1,0,30,0.8,"0, 72, 75, 78, 98, 116, 170, 173",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"14",14,7,2,"A","M",1,0,30,0.45,"0, 71, 74, 83, 53, 96, 99, 113, 36, 185",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,7,2,"A","M",1,0,42,0.45,"0, 36, 80, 84, 128, 37, 110, 155, 17, 34",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",16,7,2,"A","M",1,0,32,0.45,"0, 72, 75, 78, 53, 116, 156",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"17",17,7,2,"A","M",1,0,30,0.45,"0, 86, 89, 92, 53, 104, 107, 114",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",18,7,2,"A","M",1,0,32,0.45,"0, 81, 90, 93, 111",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,7,2,"A","M",1,0,30,0.45,"0, 87, 32, 119, 125, 143, 117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"21",21,9,3,"A","O",1,0,40,0.9,"0, 86, 89, 92, 101",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,9,3,"A","O",1,0,46,0.9,"0, 90, 93, 102, 111, 119, 143",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"23",23,10,3,"A","O",1,0,10,0.8,"0, 86, 89, 92, 101, 104, 107, 114, 122",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,10,3,"A","O",1,0,16,0.8,"0, 81, 90, 93, 102, 52, 105, 108, 111",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,10,3,"A","O",1,0,14,0.8,"0, 87, 102, 30, 117, 119, 125, 143, 182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"26",26,11,4,"A","K",1,0,32,1,"0, 45, 140, 141, 142, 146, 147, 148",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"27",27,12,4,"A","K",0,0,30,0.9,"0, 44, 140, 146",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",28,12,4,"A","K",0,0,32,0.9,"0, 45, 141, 142, 147, 148",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"29",29,13,4,"A","K",0,0,30,0.8,"0, 44, 140, 146",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",30,13,4,"A","K",0,0,32,0.8,"0, 45, 141, 147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",31,13,4,"A","K",0,0,30,0.8,"0, 132, 142, 187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"44",44,18,5,"A","N",1,1,40,0.25,"0, 71, 74, 83, 134, 168, 185, 189, 190",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",45,18,5,"A","N",1,1,56,0.25,"0, 36, 63, 80, 84, 128",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",46,18,5,"A","N",1,1,42,0.25,"0, 72, 75, 135, 20, 156, 161, 162, 167, 169, 188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"47",47,18,5,"A","N",1,1,40,0.25,"0, 86, 89, 92, 149, 168, 187, 190",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48",48,18,5,"A","N",1,1,42,0.25,"0, 81, 129, 131, 137",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",49,18,5,"A","N",1,1,40,0.25,"0, 87, 119, 143, 150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"50",50,18,5,"A","N",1,1,40,0.25,"0, 140, 144, 146, 152",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",51,18,5,"A","N",1,1,40,0.25,"0, 141, 145, 147, 153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",52,18,5,"A","N",1,1,40,0.25,"0, 132, 138, 142, 187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"53",53,19,6,"D","O",1,0,40,1,"0, 74, 83, 103, 123, 126, 164, 177",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54",54,20,7,"D","K",1,0,30,1,"0, 24, 158, 161",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"55",55,21,8,"D","M",1,0,30,1,"0, 75, 145, 9, 21, 162, 65, 165, 188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
