"","id","partition","fahrlage","von","bis","valid","minFahrzeit","homogen","res","Tag_1","Tag_2","Tag_3","Tag_4","Tag_5","Tag_6","Tag_7","Tag_8","Tag_9","Tag_10","Tag_11","Tag_12","Tag_13","Tag_14","Tag_15","Tag_16","Tag_17","Tag_18","Tag_19","Tag_20","Tag_21","Tag_22","Tag_23","Tag_24","Tag_25","Tag_26","Tag_27","Tag_28","Tag_29","Tag_30","Tag_31","Tag_32","Tag_33","Tag_34","Tag_35","Tag_36","Tag_37"
"1",1,1,1,"A","L",1,30,1,"0, 48, 76, 77, 79, 80, 82, 85, 88, 93, 94, 95, 97, 98, 127, 129, 139, 140, 141",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"2",2,2,1,"A","L",1,14,0.9,"0, 48, 85, 88, 93, 95, 98, 71, 127, 139",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,2,1,"A","L",1,14,0.9,"0, 48, 79, 80, 85, 88, 94, 97, 98, 71, 76, 77, 129, 140, 141",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"4",4,3,1,"A","L",1,14,0.8,"0, 48, 93, 95, 85, 88, 98",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",5,3,1,"A","L",1,14,0.8,"0, 48, 79, 94, 85, 88, 98",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,3,1,"A","L",1,14,0.8,"0, 48, 80, 94, 97, 85, 88, 98",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"7",7,4,2,"A","M",1,30,1,"0, 73, 79, 80, 92, 93, 94, 95, 97, 125, 126, 151, 152, 153",1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"8",8,5,2,"A","M",1,12,0.9,"0, 79, 80, 74, 50, 85, 88, 82, 36, 93, 94, 95, 97, 101, 108, 109, 151, 152, 153",1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"9",9,5,2,"A","M",1,12,0.9,"0, 73, 74, 50, 92, 86, 89, 83, 36, 103, 107, 125, 126",0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"10",10,6,2,"A","M",1,0,0.7,"0, 82, 74, 93, 95, 151",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",11,6,2,"A","M",1,0,0.7,"0, 79, 80, 82, 74, 94, 97, 152, 153",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"12",12,6,2,"A","M",1,0,0.7,"0, 73, 92, 83, 74, 125",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",13,6,2,"A","M",1,0,0.7,"0, 73, 92, 83, 74, 126",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"14",14,7,2,"A","M",0,30,0.45,"0, 93, 95, 151",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",15,7,2,"A","M",0,30,0.45,"0, 79, 94, 153",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",16,7,2,"A","M",0,30,0.45,"0, 80, 94, 97, 152, 153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
"17",17,7,2,"A","M",0,30,0.45,"0, 73, 92, 125",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",18,7,2,"A","M",0,30,0.45,"0, 73, 92, 126",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",19,7,2,"A","M",0,30,0.45,"0, 73, 92, 126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"20",20,8,3,"A","O",1,40,1,"0, 57, 73, 74, 48, 83, 86, 89, 92, 99, 123, 125, 126, 128, 133",0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"21",21,9,3,"A","O",1,10,0.9,"0, 57, 73, 92, 123, 125, 128, 133",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",22,9,3,"A","O",1,10,0.9,"0, 57, 73, 92, 123, 126, 128, 133",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"23",23,10,3,"A","O",0,40,0.8,"0, 57, 73, 92, 125",0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",24,10,3,"A","O",0,40,0.8,"0, 57, 73, 92, 126",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",25,10,3,"A","O",0,40,0.8,"0, 57, 73, 92, 126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"26",26,11,4,"A","K",1,30,1,"0, 44, 72, 75, 84, 102, 104",0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0
"27",27,12,4,"A","K",0,30,0.9,"0, 44, 72, 75",0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
